1,671498053,28107104,2023-06-20,2023-07-29
2,140309594,13770680,2016-04-25,2016-04-28
3,750927496,1598012,2017-04-14,2017-05-18
4,745318460,28715332,2015-01-14,2015-03-11
5,3352005656,21042120,2017-06-11,2017-08-18
6,802117821,9007767,2023-04-12,2023-04-13
7,3518397389,22601249,2017-03-03,2017-04-27
8,006103181x,14629878,2015-10-11,2015-12-04
9,2070394557,8343222,2018-11-11,2018-11-27
10,3442151759,27846079,2016-02-03,2016-02-14
11,385418132,9282443,2017-06-08,2017-08-09
12,440154731,1210916,2020-06-08,2020-07-13
13,786906138,23128067,2022-12-21,2023-03-07
14,8420639133,29415546,2019-05-29,2019-06-13
15,886778751,18086664,2018-02-24,2018-04-12
16,603552242,7583507,2022-02-08,2022-03-20
17,924171553,9994304,2022-08-19,2022-09-12
18,039331989X,15033685,2023-09-12,2023-09-13
19,809436272,14475417,2021-09-28,2021-10-16
20,767900790,35510795,2018-10-29,2019-01-15
21,006106582X,7774373,2020-05-22,2020-05-29
22,723232881,4142125,2022-09-18,2022-11-08
23,486287149,18504631,2022-01-01,2022-01-14
24,1930754213,8595191,2023-04-15,2023-05-15
25,1860196276,34207635,2022-06-11,2022-06-21
26,684814145,995469,2021-02-10,2021-03-12
27,590208330,20515035,2021-01-12,2021-03-27
28,881037400,6169981,2023-08-19,2023-11-01
29,1558212884,3344237,2022-01-15,2022-03-22
30,051717202X,34490356,2017-08-13,2017-10-03
31,3455088066,6539778,2017-09-22,2017-11-06
32,440406692,20133468,2015-08-31,2015-11-22
33,892746726,13332001,2017-03-12,2017-04-08
34,6471641,15477385,2018-08-01,2018-10-30
35,916856593,15775049,2018-09-28,2018-10-11
36,446602604,4976919,2022-04-14,2022-07-01
37,1556591985,32542979,2023-12-27,2024-03-26
38,451627873,9112240,2023-09-24,2023-11-18
39,8449300401,4681193,2023-02-17,2023-04-03
40,882703935,21828822,2021-12-16,2022-02-08
41,312951469,6452188,2021-03-01,2021-05-03
42,345439732,23714854,2019-05-27,2019-07-30
43,688036872,30387445,2021-09-05,2021-12-04
44,185227994X,19806088,2018-11-03,2019-01-18
45,1591020751,17774810,2016-11-12,2016-11-19
46,2264027754,35619415,2019-07-01,2019-07-04
47,786866837,22232425,2015-12-01,2016-01-21
48,373085397,20664395,2022-01-07,2022-03-13
49,141006633,34602589,2017-06-17,2017-07-21
50,970777620,4060993,2022-03-03,2022-05-25
51,074346446X,7730160,2015-12-20,2015-12-30
52,014028334X,31100684,2019-03-22,2019-06-09
53,1581820399,33368138,2020-09-01,2020-09-16
